cell_id,row,col,center_lon,center_lat,theta_rad,theta_deg,rho,R,X_center,Y_center,fixed_cell_side,four_vertex_area,four_vertex_signed_area,source_center_theta_rad,source_center_R,source_center_X,source_center_Y
98,9,14,116.6499940000,40.2500000000,5.8339787073,334.262358,0.1808243008,1.1537006557,1.0392442294,-0.5009956432,0.3946708919,0.1557651129,0.1557651129,5.8711205470,1.1880428789,1.0885987426,-0.4758136816
99,9,15,116.7500000000,40.2500000000,6.0198430413,344.911600,0.3153960185,1.2680866157,1.2243697741,-0.3300944124,0.2743585911,0.0752726365,0.0752726365,6.0267179495,1.2597438261,1.2185402760,-0.3195529740
100,9,16,116.8500060000,40.2500000000,6.1035241856,349.706176,0.4323900144,1.3675315122,1.3455201428,-0.2443726296,0.2242216115,0.0502753311,0.0502753311,6.0980181893,1.3425367329,1.3195867335,-0.2471755081
101,9,17,116.9500000000,40.2500000000,6.1441868080,352.035973,0.5490652886,1.4667054953,1.4525594906,-0.2032140157,0.2044137865,0.0417849961,0.0417849961,6.1385129215,1.4349976195,1.4200064728,-0.2068810894
102,9,18,117.0500000000,40.2500000000,6.1732201055,353.699458,0.6651633718,1.5653888660,1.5559337881,-0.1717915860,0.1837741838,0.0337729506,0.0337729506,6.1645440060,1.5274640541,1.5167265504,-0.1807954863
103,9,19,117.1499940000,40.2500000000,6.1883059915,354.563816,0.7809509444,1.6638083028,1.6563250475,-0.1576242534,0.1793954241,0.0321827182,0.0321827182,6.1826618690,1.6504602500,1.6421283509,-0.1656306612
104,9,20,117.2500000000,40.2500000000,6.2010817548,355.295813,0.9010088362,1.7658575108,1.7599090366,-0.1448203411,0.1720314918,0.0295948342,0.0295948342,6.1959927962,1.7531205437,1.7464606854,-0.1526653699
105,10,7,115.9500000000,40.3500020000,3.0316739379,173.702121,0.8656320043,1.7357872037,-1.7253117590,0.1904115297,0.2377006429,0.0565015956,0.0565015956,3.0229513525,1.8040795909,-1.7913975829,0.2135365779
106,10,8,116.0500000000,40.3500020000,3.0144800071,172.716982,0.6982021034,1.5934717879,-1.5806157525,0.2020054010,0.2348952060,0.0551757578,0.0551757578,2.9969202679,1.5916110298,-1.5749837726,0.2294597700
107,10,9,116.1499940000,40.3500020000,2.9727329305,170.325051,0.5253999911,1.4465899925,-1.4260152021,0.2431115993,0.2646812499,0.0700561641,0.0700561641,2.9564255357,1.4410657543,-1.4164314502,0.2653157648
108,10,10,116.2500000000,40.3500020000,2.9142681103,166.975263,0.3568912987,1.3033576039,-1.2698259318,0.2937399299,0.2829145774,0.0800406581,0.0800406581,2.8851252959,1.2920108698,-1.2497519331,0.3277379951
109,10,11,116.3500060000,40.3500020000,2.7393208198,156.951522,0.1709405657,1.1452994809,-1.0538747176,0.4483960086,0.3945758141,0.1556900731,0.1556900731,2.7295278934,1.1741898300,-1.0759052517,0.4702655062
110,10,12,116.4500000000,40.3500020000,2.2686833410,129.985980,-0.0975328664,0.9170970635,-0.5893267102,0.7026813307,0.6391125708,0.4084648782,0.4084648782,2.2223463378,1.1160280282,-0.6767812893,0.8874038800
111,10,13,116.5500000000,40.3500020000,0.8862636267,50.779165,-0.1217188433,0.8965389832,0.5668915116,0.6945618493,0.6160180858,0.3794782820,0.3794782820,0.9192463158,1.0972007262,0.6653640440,0.8724334488
112,10,14,116.6499940000,40.3500020000,0.4224341227,24.203692,0.1135806169,1.0965435243,1.0001504374,0.4495629026,0.3556105608,0.1264588710,0.1264588710,0.4120647602,1.1396137546,1.0442233377,0.4564177150
113,10,15,116.7500000000,40.3500020000,0.2435744876,13.955790,0.2578306996,1.2191560947,1.1831691745,0.2940276986,0.2482844596,0.0616451729,0.0616451729,0.2564673577,1.2813141119,1.2394050435,0.3250246016
114,10,16,116.8500060000,40.3500020000,0.2000832217,11.463924,0.4143837920,1.3522262232,1.3252493653,0.2687561693,0.2787383054,0.0776950429,0.0776950429,0.1851671178,1.4067386835,1.3826911836,0.2589957804
115,10,17,116.9500000000,40.3500020000,0.1451802403,8.318215,0.5702315739,1.4846968378,1.4690775990,0.2147922440,0.2165979958,0.0469146918,0.0469146918,0.1446723857,1.5266453044,1.5106967319,0.2200937753
116,10,18,117.0500000000,40.3500020000,0.1230363164,7.049462,0.7045259862,1.5988470883,1.5867607249,0.1962203187,0.2146275718,0.0460649946,0.0460649946,0.1186413011,1.6401466787,1.6286170581,0.1941329589
117,10,19,117.1499940000,40.3500020000,0.1048813164,6.009257,0.8456432843,1.7187967917,1.7093519941,0.1799393547,0.2055149781,0.0422364062,0.0422364062,0.1005234382,1.7439376407,1.7351338465,0.1750115124
118,10,20,117.2500000000,40.3500020000,0.0905726409,5.189430,0.9839060252,1.8363201214,1.8287932318,0.1660930573,0.1952930689,0.0381393827,0.0381393827,0.0871925110,1.8477410583,1.8407217499,0.1609051204
119,11,6,115.8500060000,40.4500000000,2.8581072473,163.757483,0.9025096727,1.7671332218,-1.6966005574,0.4942735802,0.1863100168,0.0347114223,0.0347114223,2.8477685974,1.7642616682,-1.6886513664,0.5109557676
120,11,7,115.9500000000,40.4500000000,2.8088055964,160.932706,0.7622111090,1.6478794427,-1.5574694334,0.5383266865,0.1977266754,0.0390958382,0.0390958382,2.7981688479,1.6137956420,-1.5195618331,0.5433858752
