cell_id,row,col,initial_layer,optimized_layer,layer_changed,initial_slot,optimized_slot,source_radius,source_theta_deg,optimized_center_theta_deg,angular_displacement_deg,theta_left_deg,theta_right_deg,angular_width_deg,r_inner,r_outer,original_degree,preserved_degree,lost_degree,new_degree
165,14,13,2,3,1,26,27,1.5537618230,85.156264,100.313477,15.157212,452.518176,468.108777,15.590601,1.4250000000,1.5666666667,4,3,1,2
166,14,14,3,3,0,22,26,1.6098153277,75.736786,84.062335,8.325550,435.606495,452.518176,16.911682,1.4250000000,1.5666666667,4,3,1,2
167,14,15,4,4,0,25,25,1.6915690342,67.037356,63.525465,3.511891,422.453539,424.597392,2.143853,1.5666666667,1.7083333333,4,2,2,2
168,14,16,4,5,1,24,23,1.7599286348,59.323669,67.576084,8.252415,421.210661,433.941506,12.730846,1.7083333333,1.8500000000,2,2,0,2
169,15,12,5,5,0,25,28,1.7796385604,93.966162,93.938299,0.027862,449.652968,458.223631,8.570664,1.7083333333,1.8500000000,3,3,0,1
170,15,13,3,4,1,24,28,1.6760988829,86.033838,92.062639,6.028800,447.127595,456.997682,9.870087,1.5666666667,1.7083333333,4,4,0,2
171,15,14,3,4,1,23,27,1.6454719594,78.250469,80.797537,2.547068,434.467479,447.127595,12.660116,1.5666666667,1.7083333333,4,4,0,2
172,15,15,5,5,0,21,24,1.7989248011,70.880268,77.210775,6.330507,433.941506,440.480043,6.538537,1.7083333333,1.8500000000,2,1,1,2
173,16,12,5,5,0,24,29,1.8375043208,93.357516,98.973631,5.616115,458.223631,459.723631,1.500000,1.7083333333,1.8500000000,2,1,1,2
174,16,13,5,5,0,23,27,1.8017069229,86.642484,88.275905,1.633421,446.898842,449.652968,2.754125,1.7083333333,1.8500000000,3,2,1,1
175,16,14,4,5,1,26,26,1.7365887791,80.018526,84.439443,4.420917,441.980043,446.898842,4.918799,1.7083333333,1.8500000000,3,3,0,0
176,17,14,5,5,0,22,25,1.8410790821,81.327644,81.230043,0.097601,440.480043,441.980043,1.500000,1.7083333333,1.8500000000,1,1,0,2
