cell_id,layer,slot_in_layer,source_radius,source_theta_deg,theta_left_deg,theta_right_deg,r_inner,r_outer
117,5,21,1.7439376407,5.7595687522,0.3819029345,11.2972235467,1.6999882585,1.7810413090
132,5,22,1.7495162669,16.8348783412,11.2972235467,20.2215521592,1.6999882585,1.7810413090
148,5,23,1.6980894169,23.6082259771,20.2215521592,29.4156887065,1.6999882585,1.7810413090
159,5,24,1.7689542832,35.2231514359,29.4156887065,37.5321948500,1.6999882585,1.7810413090
158,5,25,1.7462632400,39.8412382640,37.5321948500,42.7015619157,1.6999882585,1.7810413090
157,5,26,1.7537608416,45.5618855673,42.7015619157,52.4427770661,1.6999882585,1.7810413090
168,5,27,1.7599286349,59.3236685649,52.4427770661,63.1805124504,1.6999882585,1.7810413090
167,5,28,1.6915690342,67.0373563359,63.1805124504,73.5279410316,1.6999882585,1.7810413090
175,5,29,1.7365887790,80.0185257273,73.5279410316,99.2992559159,1.6999882585,1.7810413090
172,6,1,1.7989248011,70.8802675069,51.1710537631,76.1039556798,1.7810413090,1.8500000000
176,6,2,1.8410790820,81.3276438527,76.1039556798,83.9850637223,1.7810413090,1.8500000000
174,6,3,1.8017069228,86.6424835920,83.9850637223,89.9021613036,1.7810413090,1.8500000000
173,6,4,1.8375043208,93.3575164083,89.9021613036,93.6618390153,1.7810413090,1.8500000000
169,6,5,1.7796385605,93.9661616223,93.6618390153,99.2125266360,1.7810413090,1.8500000000
163,6,6,1.8119803828,104.2632142568,99.2125266360,108.6129289597,1.7810413090,1.8500000000
162,6,7,1.8077609722,112.9626436625,108.6129289597,120.1474072649,1.7810413090,1.8500000000
149,6,8,1.8121927904,127.3321708672,120.1474072649,140.2850679994,1.7810413090,1.8500000000
134,6,9,1.8129399117,153.2379651316,140.2850679994,163.2201596508,1.7810413090,1.8500000000
105,6,10,1.8040795908,173.2023541701,163.2201596508,180.0000000003,1.7810413090,1.8500000000
91,6,11,1.8219573513,186.7976458306,180.0000000003,195.2030079913,1.7810413090,1.8500000000
46,6,12,1.8419084280,203.6083701521,195.2030079913,204.6960799433,1.7810413090,1.8500000000
47,6,13,1.7994410100,205.7837897344,204.6960799433,208.8138280513,1.7810413090,1.8500000000
32,6,14,1.8279461984,211.8438663683,208.8138280513,214.5231642877,1.7810413090,1.8500000000
18,6,15,1.8008937424,217.2024622071,214.5231642877,219.5493255220,1.7810413090,1.8500000000
5,6,16,1.8247061133,221.8961888369,219.5493255220,223.4862324854,1.7810413090,1.8500000000
6,6,17,1.7838767964,225.0762761340,223.4862324854,226.8642405449,1.7810413090,1.8500000000
7,6,18,1.7850564821,228.6522049559,226.8642405449,230.6603117382,1.7810413090,1.8500000000
1,6,19,1.8375882180,232.6684185205,230.6603117382,244.2023528215,1.7810413090,1.8500000000
2,6,20,1.8295374845,255.7362871226,244.2023528215,264.5468966119,1.7810413090,1.8500000000
15,6,21,1.7946159192,273.3575061011,264.5468966119,276.6694751409,1.7810413090,1.8500000000
16,6,22,1.7909496294,279.9814441807,276.6694751409,283.1648127177,1.7810413090,1.8500000000
17,6,23,1.8026506451,286.3481812546,283.1648127177,301.6124011279,1.7810413090,1.8500000000
73,6,24,1.8336002496,316.8766210012,301.6124011279,320.4027725975,1.7810413090,1.8500000000
74,6,25,1.8267402669,323.9289241938,320.4027725975,335.4503892184,1.7810413090,1.8500000000
90,6,26,1.8467201182,346.9718542430,335.4503892184,355.9838085633,1.7810413090,1.8500000000
118,6,27,1.8477410582,4.9957628836,355.9838085633,9.8449425878,1.7810413090,1.8500000000
133,6,28,1.8439387140,14.6941222920,9.8449425878,21.5292497789,1.7810413090,1.8500000000
161,6,29,1.7811883130,28.3643772658,21.5292497789,29.9131086426,1.7810413090,1.8500000000
160,6,30,1.8183097522,31.4618400193,29.9131086426,51.1710537631,1.7810413090,1.8500000000
