cell_id,row,col,corner_index,source_lon,source_lat,theta_rad,theta_deg,rho_unclipped,R,annulus_x,annulus_y
118,10,20,3,117.3000000000,40.4000020000,0.1624554722,9.308013,1.0980906499,1.9333770524,1.9079204821,0.3127079484
118,10,20,4,117.2000000000,40.4000020000,0.1851684104,10.609368,0.9570155725,1.8134632366,1.7824625508,0.3338804661
119,11,6,1,115.8000060000,40.4000000000,2.9564263113,169.390750,1.0377759550,1.8821095617,-1.8499361013,0.3465152570
119,11,6,2,115.9000060000,40.4000000000,2.9264439670,167.672888,0.8606532388,1.7315552530,-1.6916336605,0.3696743874
119,11,6,3,115.9000060000,40.5000000000,2.7295480770,156.391585,0.8197176378,1.6967599921,-1.5547478307,0.6795245793
119,11,6,4,115.8000060000,40.5000000000,2.7831500006,159.462749,0.9246181506,1.7859254280,-1.6724196904,0.6265317338
120,11,7,1,115.9000000000,40.4000000000,2.9264460528,167.673008,0.8606638662,1.7315642862,-1.6916432565,0.3696727877
120,11,7,2,116.0000000000,40.4000000000,2.8851326568,165.305925,0.6870835100,1.5840209835,-1.5322139726,0.4017994752
120,11,7,3,116.0000000000,40.5000000000,2.6585598401,152.324258,0.7384355198,1.6276701918,-1.4414490239,0.7559993155
120,11,7,4,115.9000000000,40.5000000000,2.7295517467,156.391795,0.8197215076,1.6967632815,-1.5547533383,0.6795201912
121,11,8,1,116.0000000000,40.4000000000,2.8851326568,165.305925,0.6870835100,1.5840209835,-1.5322139726,0.4017994752
121,11,8,2,116.1000000000,40.4000000000,2.8248364651,161.851207,0.5555973603,1.4722577562,-1.3990141355,0.4585873412
121,11,8,3,116.1000000000,40.5000000000,2.5612979683,146.751564,0.6594630434,1.5605435869,-1.3050843480,0.8555998663
121,11,8,4,116.0000000000,40.5000000000,2.6585598401,152.324258,0.7384355198,1.6276701918,-1.4414490239,0.7559993155
122,11,9,1,116.0999940000,40.4000000000,2.8248409049,161.851462,0.5556052494,1.4722644620,-1.3990225437,0.4585832186
122,11,9,2,116.1999940000,40.4000000000,2.7295609206,156.392321,0.4098635417,1.3483840104,-1.2355364888,0.5399898373
122,11,9,3,116.1999940000,40.5000000000,2.4232714094,138.843224,0.6544556784,1.5562873266,-1.1717468046,1.0242263758
122,11,9,4,116.0999940000,40.5000000000,2.5613048460,146.751958,0.6594695401,1.5605491091,-1.3050948508,0.8555939179
123,11,10,1,116.2000000000,40.4000000000,2.7295535815,156.391900,0.4098596719,1.3483807211,-1.2355295118,0.5399975877
123,11,10,2,116.3000000000,40.4000000000,2.5613002609,146.751695,0.3297309558,1.2802713125,-1.0706939405,0.7019324179
123,11,10,3,116.3000000000,40.5000000000,2.2223583925,127.331756,0.5460069688,1.4641059234,-0.8878765869,1.1641655043
