edge_id,cell_id_a,cell_id_b,index_a,index_b,row_a,col_a,row_b,col_b,initial_layer_a,initial_layer_b,initial_layer_delta,source_radius_a,source_radius_b,source_theta_a_deg,source_theta_b_deg,source_angle_delta_deg,source_radius_delta,initial_edge_type
47,25,39,24,38,4,10,5,10,3,2,1,1.6541017798,1.5286066523,250.880268,247.037356,3.842911,0.1254951275,adjacent_layer
48,26,27,25,26,4,11,4,12,2,2,0,1.5843045308,1.5466323036,258.250469,266.033838,7.783369,0.0376722272,same_layer
49,26,40,25,39,4,11,5,11,2,1,1,1.5843045308,1.4977068227,258.250469,255.736786,2.513684,0.0865977081,adjacent_layer
50,27,28,26,27,4,12,4,13,2,3,1,1.5466323036,1.6749196021,266.033838,273.966162,7.932323,0.1282872985,adjacent_layer
51,27,41,26,40,4,12,5,12,2,1,1,1.5466323036,1.4485387719,266.033838,265.156264,0.877574,0.0980935317,adjacent_layer
52,28,29,27,28,4,13,4,14,3,3,0,1.6749196021,1.6690883915,273.966162,281.749531,7.783369,0.0058312106,same_layer
53,28,42,27,41,4,13,5,13,3,2,1,1.6749196021,1.5552208911,273.966162,274.843736,0.877574,0.1196987110,adjacent_layer
54,29,30,28,29,4,14,4,15,3,3,0,1.6690883915,1.6827034645,281.749531,289.119732,7.370202,0.0136150730,same_layer
55,29,43,28,42,4,14,5,14,3,2,1,1.6690883915,1.5534515915,281.749531,284.263214,2.513684,0.1156368000,adjacent_layer
56,30,31,29,30,4,15,4,16,3,4,1,1.6827034645,1.7578433246,289.119732,295.889238,6.769506,0.0751398601,adjacent_layer
57,30,44,29,43,4,15,5,15,3,3,0,1.6827034645,1.6053241793,289.119732,292.962644,3.842911,0.0773792852,same_layer
58,31,45,30,44,4,16,5,16,4,4,0,1.7578433246,1.7183871492,295.889238,300.676331,4.787093,0.0394561754,same_layer
59,32,33,31,32,5,3,5,4,5,4,1,1.8279461984,1.6935352461,211.843866,214.766481,2.922614,0.1344109523,adjacent_layer
60,32,47,31,46,5,3,6,3,5,5,0,1.8279461984,1.7994410100,211.843866,205.783790,6.060077,0.0285051884,same_layer
61,33,34,32,33,5,4,5,5,4,3,1,1.6935352461,1.6362292396,214.766481,218.192478,3.425997,0.0573060066,adjacent_layer
62,33,48,32,47,5,4,6,4,4,4,0,1.6935352461,1.7392995712,214.766481,208.364514,6.401966,0.0457643251,same_layer
63,34,35,33,34,5,5,5,6,3,2,1,1.6362292396,1.5635032086,218.192478,222.231612,4.039134,0.0727260310,adjacent_layer
64,34,49,33,48,5,5,6,5,3,3,0,1.6362292396,1.6489864756,218.192478,211.461986,6.730492,0.0127572360,same_layer
65,35,36,34,35,5,6,5,7,2,2,0,1.5635032086,1.5495666037,222.231612,227.011122,4.779510,0.0139366049,same_layer
66,35,50,34,49,5,6,6,6,2,2,0,1.5635032086,1.5365719919,222.231612,215.223306,7.008306,0.0269312167,same_layer
67,36,37,35,36,5,7,5,8,2,2,0,1.5495666037,1.5025522675,227.011122,232.668320,5.657198,0.0470143362,same_layer
68,36,51,35,50,5,7,6,7,2,1,1,1.5495666037,1.4579935767,227.011122,219.841399,7.169723,0.0915730270,adjacent_layer
69,37,38,36,37,5,8,5,9,2,2,0,1.5025522675,1.5292727952,232.668320,239.323669,6.655348,0.0267205277,same_layer
70,37,52,36,51,5,8,6,8,2,1,1,1.5025522675,1.4186321190,232.668320,225.562049,7.106271,0.0839201485,adjacent_layer
71,38,39,37,38,5,9,5,10,2,2,0,1.5292727952,1.5286066523,239.323669,247.037356,7.713688,0.0006661429,same_layer
72,38,53,37,52,5,9,6,9,2,1,1,1.5292727952,1.3908789361,239.323669,232.667987,6.655682,0.1383938591,adjacent_layer
73,39,40,38,39,5,10,5,11,2,1,1,1.5286066523,1.4977068227,247.037356,255.736786,8.699429,0.0308998296,adjacent_layer
74,39,54,38,53,5,10,6,10,2,1,1,1.5286066523,1.4156956038,247.037356,241.420151,5.617205,0.1129110485,adjacent_layer
75,40,41,39,40,5,11,5,12,1,1,0,1.4977068227,1.4485387719,255.736786,265.156264,9.419478,0.0491680508,same_layer
76,40,55,39,54,5,11,6,11,1,1,0,1.4977068227,1.4176416900,255.736786,251.900338,3.836447,0.0800651328,same_layer
77,41,42,40,41,5,12,5,13,1,2,1,1.4485387719,1.5552208911,265.156264,274.843736,9.687472,0.1066821192,adjacent_layer
78,41,56,40,55,5,12,6,12,1,1,0,1.4485387719,1.3504491640,265.156264,263.782019,1.374245,0.0980896079,same_layer
79,42,43,41,42,5,13,5,14,2,2,0,1.5552208911,1.5534515915,274.843736,284.263214,9.419478,0.0017692997,same_layer
80,42,57,41,56,5,13,6,13,2,1,1,1.5552208911,1.4355269680,274.843736,276.217981,1.374245,0.1196939231,adjacent_layer
81,43,44,42,43,5,14,5,15,2,3,1,1.5534515915,1.6053241793,284.263214,292.962644,8.699429,0.0518725878,adjacent_layer
82,43,58,42,57,5,14,6,14,2,1,1,1.5534515915,1.4271257510,284.263214,288.099662,3.836447,0.1263258405,adjacent_layer
83,44,45,43,44,5,15,5,16,3,4,1,1.6053241793,1.7183871492,292.962644,300.676331,7.713688,0.1130629699,adjacent_layer
84,44,59,43,58,5,15,6,15,3,2,1,1.6053241793,1.5213971702,292.962644,298.579849,5.617205,0.0839270091,adjacent_layer
85,46,47,45,46,6,2,6,3,5,5,0,1.8419084280,1.7994410100,203.608370,205.783790,2.175420,0.0424674179,same_layer
86,47,48,46,47,6,3,6,4,5,4,1,1.7994410100,1.7392995712,205.783790,208.364514,2.580724,0.0601414388,adjacent_layer
87,47,60,46,59,6,3,7,3,5,4,1,1.7994410100,1.7710620303,205.783790,199.037011,6.746779,0.0283789798,adjacent_layer
